Date,Algal Severity,Precip,Precip 1-day before,precip 2-day before,Sum(3day Precip),Max Temp,Mean Temp
9/15/2017,3,0,,,0,80,68
9/16/2017,0,,0,,0,82,68
9/17/2017,0,0,,0,0,84,68
9/18/2017,0,0,0,,0,86,71
9/19/2017,0,0,0,0,0,80,70
9/20/2017,0,0,0,0,0,82,68
9/21/2017,0,0.01,0,0,0.01,82,69
9/22/2017,0,0.02,0.01,0,0.03,82,66
9/23/2017,0,0,0.02,0.01,0.03,85,68
9/24/2017,2,0,0,0.02,0.02,89,73
9/25/2017,0,0,0,0,0,90,74
9/26/2017,0,0,0,0,0,91,74
9/27/2017,0,0,0,0,0,91,75
9/28/2017,0,0,0,0,0,65,62
9/29/2017,0,0,0,0,0,63,55
9/30/2017,0,0.2,0,0,0.2,57,51
10/1/2017,0,,0.2,0,0.2,64,49
10/2/2017,2,0,,0.2,0.2,69,52
10/3/2017,0,0,0,,0,76,56
10/4/2017,0,0,0,0,0,84,66
10/5/2017,0,0.19,0,0,0.19,72,64
10/6/2017,0,0.04,0.19,0,0.23,67,59
10/7/2017,0,0.1,0.04,0.19,0.33,81,66
10/8/2017,0,0.32,0.1,0.04,0.46,78,72
10/9/2017,0,0.6,0.32,0.1,1.02,76,64
10/10/2017,0,0.25,0.6,0.32,1.17,74,65
10/11/2017,0,,0.25,0.6,0.85,61,58
10/12/2017,0,0.55,,0.25,0.8,62,52
10/13/2017,0,0,0.55,,0.55,63,54
10/14/2017,0,0,0,0.55,0.55,70,62
10/15/2017,0,0,0,0,0,80,67
10/16/2017,0,0.5,0,0,0.5,51,49
10/17/2017,0,0.06,0.5,0,0.56,61,45
10/18/2017,0,0,0.06,0.5,0.56,71,58
10/19/2017,0,0,0,0.06,0.06,72,59
10/20/2017,0,0,0,0,0,67,58
10/21/2017,0,0,0,0,0,74,53
10/22/2017,0,0,0,0,0,77,56
10/23/2017,0,0,0,0,0,73,63
10/24/2017,0,0.45,0,0,0.45,71,67
10/25/2017,0,0.09,0.45,0,0.54,59,54
10/26/2017,0,0.08,0.09,0.45,0.62,53,48
10/27/2017,0,0,0.08,0.09,0.17,63,49
10/28/2017,0,,0,0.08,0.08,71,58
10/29/2017,0,0.94,,0,0.94,47,46
10/30/2017,0,2.73,0.94,,3.67,52,46
10/31/2017,0,0.2,2.73,0.94,3.87,44,42
11/1/2017,0,0.11,0.2,2.73,3.04,47,39
11/2/2017,0,1.15,0.11,0.2,1.46,64,52
11/3/2017,0,0.34,1.15,0.11,1.6,64,57
11/4/2017,0,0.1,0.34,1.15,1.59,46,39
11/5/2017,0,0.5,0.1,0.34,0.94,60,50
11/6/2017,0,0.52,0.5,0.1,1.12,61,53
11/7/2017,0,0.08,0.52,0.5,1.1,40,38
11/8/2017,0,0,0.08,0.52,0.6,47,33
11/9/2017,0,0,0,0.08,0.08,48,35
11/10/2017,0,0.15,0,0,0.15,34,29
11/11/2017,0,0.01,0.15,0,0.16,31,23
11/12/2017,0,0,0.01,0.15,0.16,42,30
11/13/2017,0,0.02,0,0.01,0.03,41,36
11/14/2017,0,0.04,0.02,0,0.06,41,38
11/15/2017,0,,0.04,0.02,0.06,46,35
11/16/2017,0,0.01,,0.04,0.05,49,45
11/17/2017,0,0.14,0.01,,0.15,37,34
11/18/2017,0,,0.14,0.01,0.15,49,33
11/19/2017,0,0.66,,0.14,0.8,51,40
11/20/2017,0,0.2,0.66,,0.86,35,31
11/21/2017,0,0.01,0.2,0.66,0.87,52,39
11/22/2017,0,0.15,0.01,0.2,0.36,49,40
11/23/2017,0,0.01,0.15,0.01,0.17,37,30
11/24/2017,0,,0.01,0.15,0.16,52,41
11/25/2017,0,0.01,,0.01,0.02,51,46
11/26/2017,0,0.12,0.01,,0.13,41,36
11/27/2017,0,,0.12,0.01,0.13,40,36
11/28/2017,0,0.01,,0.12,0.13,57,34
11/29/2017,0,0,0.01,,0.01,54,48
11/30/2017,0,0,0,0.01,0.01,50,35
12/1/2017,0,0.1,0,0,0.1,42,41
12/2/2017,0,0,0.1,0,0.1,41,33
12/3/2017,0,0,0,0.1,0.1,48,35
12/4/2017,0,0,0,0,0,52,36
12/5/2017,0,,0,0,0,54,49
12/6/2017,0,0.2,,0,0.2,39,39
12/7/2017,0,,0.2,,0.2,36,35
12/8/2017,0,0.02,,0.2,0.22,34,29
12/9/2017,0,0,0.02,,0.02,33,27
12/10/2017,0,0.02,0,0.02,0.04,34,28
12/11/2017,0,0.08,0.02,0,0.1,30,26
12/12/2017,0,0.19,0.08,0.02,0.29,33,28
12/13/2017,0,0.12,0.19,0.08,0.39,18,16
12/14/2017,0,0.1,0.12,0.19,0.41,20,15
12/15/2017,0,0.01,0.1,0.12,0.23,25,18
12/16/2017,0,,0.01,0.1,0.11,26,23
12/17/2017,0,0.05,,0.01,0.06,23,14
12/18/2017,0,0.01,0.05,,0.06,40,26
12/19/2017,0,0.09,0.01,0.05,0.15,49,42
12/20/2017,0,0,0.09,0.01,0.1,39,34
12/21/2017,0,0.02,0,0.09,0.11,28,24
12/22/2017,0,0.08,0.02,0,0.1,27,22
12/23/2017,0,0.32,0.08,0.02,0.42,33,29
12/24/2017,0,0.57,0.32,0.08,0.97,32,30
12/25/2017,0,0.06,0.57,0.32,0.95,35,27
12/26/2017,0,0.07,0.06,0.57,0.7,19,16
12/27/2017,0,0,0.07,0.06,0.13,14,9
12/28/2017,0,0.25,0,0.07,0.32,9,2
12/29/2017,0,0.1,0.25,0,0.35,12,6
12/30/2017,0,0.05,0.1,0.25,0.4,19,9
12/31/2017,0,0.2,0.05,0.1,0.35,6,2
1/1/2018,0,0.17,0.2,0.05,0.42,14,0
1/2/2018,0,0.13,0.17,0.2,0.5,21,12
1/3/2018,0,0,0.13,0.17,0.3,24,15
1/4/2018,0,0,0,0.13,0.13,20,17
1/5/2018,0,0.39,0,0,0.39,9,6
1/6/2018,0,0.3,0.39,0,0.69,4,3
1/7/2018,0,0.08,0.3,0.39,0.77,26,2
1/8/2018,0,,0.08,0.3,0.38,37,29
1/9/2018,0,0.05,,0.08,0.13,36,33
1/10/2018,0,0.04,0.05,,0.09,41,31
1/11/2018,0,0.01,0.04,0.05,0.1,54,45
1/12/2018,0,1.1,0.01,0.04,1.15,62,53
1/13/2018,0,1.31,1.1,0.01,2.42,17,15
1/14/2018,0,0.13,1.31,1.1,2.54,11,0
1/15/2018,0,0,0.13,1.31,1.44,17,3
1/16/2018,0,0.15,0,0.13,0.28,28,20
1/17/2018,0,0.12,0.15,0,0.27,24,20
1/18/2018,0,0,0.12,0.15,0.27,21,10
1/19/2018,0,0,0,0.12,0.12,38,24
1/20/2018,0,0,0,0,0,43,36
1/21/2018,0,0,0,0,0,41,34
1/22/2018,0,0.02,0,0,0.02,46,35
1/23/2018,0,0.06,0.02,0,0.08,52,43
1/24/2018,0,0.12,0.06,0.02,0.2,32,26
1/25/2018,0,0.03,0.12,0.06,0.21,22,16
1/26/2018,0,0,0.03,0.12,0.15,38,21
1/27/2018,0,0,0,0.03,0.03,50,36
1/28/2018,0,0.36,0,0,0.36,46,40
1/29/2018,0,0,0.36,0,0.36,0,30
1/30/2018,0,0.13,0,0.36,0.49,31,24
1/31/2018,0,0.08,0.13,0,0.21,32,16
2/1/2018,0,0.08,0.08,0.13,0.29,46,36
2/2/2018,0,0.18,0.08,0.08,0.34,23,18
2/3/2018,0,0.06,0.18,0.08,0.32,30,15
2/4/2018,0,,0.06,0.18,0.24,34,30
2/5/2018,0,0.13,,0.06,0.19,33,23
2/6/2018,0,0.11,0.13,,0.24,26,18
2/7/2018,0,,0.11,0.13,0.24,24,16
2/8/2018,0,0.59,,0.11,0.7,23,20
2/9/2018,0,0,0.59,,0.59,24,18
2/10/2018,0,0,0,0.59,0.59,37,28
2/11/2018,0,0.04,0,0,0.04,41,30
2/12/2018,0,0.09,0.04,0,0.13,34,30
2/13/2018,0,0.02,0.09,0.04,0.15,28,22
2/14/2018,0,0,0.02,0.09,0.11,46,34
2/15/2018,0,0,0,0.02,0.02,54,40
2/16/2018,0,0.24,0,0,0.24,44,39
2/17/2018,0,0,0.24,0,0.24,35,26
2/18/2018,0,0.19,0,0.24,0.43,39,31
2/19/2018,0,0,0.19,0,0.19,48,35
2/20/2018,0,0.41,0,0.19,0.6,69,53
2/21/2018,0,,0.41,0,0.41,75,58
2/22/2018,0,0.02,,0.41,0.43,35,33
2/23/2018,0,0.28,0.02,,0.3,47,34
2/24/2018,0,0.06,0.28,0.02,0.36,44,41
2/25/2018,0,0.34,0.06,0.28,0.68,51,39
2/26/2018,0,,0.34,0.06,0.4,48,40
2/27/2018,0,0,,0.34,0.34,56,39
2/28/2018,0,0,0,,0,64,48
3/1/2018,0,0.06,0,0,0.06,48,40
3/2/2018,0,0.86,0.06,0,0.92,35,31
3/3/2018,0,0.47,0.86,0.06,1.39,34,30
3/4/2018,0,0,0.47,0.86,1.33,33,32
3/5/2018,0,0,0,0.47,0.47,34,29
3/6/2018,0,0,0,0,0,42,32
3/7/2018,0,0.07,0,0,0.07,34,33
3/8/2018,0,0.05,0.07,0,0.12,33,31
3/9/2018,0,0.08,0.05,0.07,0.2,35,29
3/10/2018,0,0.17,0.08,0.05,0.3,33,29
3/11/2018,0,0.04,0.17,0.08,0.29,30,29
3/12/2018,0,0,0.04,0.17,0.21,34,25
3/13/2018,0,0.19,0,0.04,0.23,32,29
3/14/2018,0,0.37,0.19,0,0.56,30,29
3/15/2018,0,0.52,0.37,0.19,1.08,36,29
3/16/2018,0,0.07,0.52,0.37,0.96,31,26
3/17/2018,0,0.04,0.07,0.52,0.63,35,27
3/18/2018,0,0,0.04,0.07,0.11,33,21
3/19/2018,0,0,0,0.04,0.04,29,24
3/20/2018,0,0,0,0,0,37,21
3/21/2018,0,0,0,0,0,38,27
3/22/2018,0,0,0,0,0,37,31
3/23/2018,0,0,0,0,0,37,32
3/24/2018,0,0,0,0,0,31,29
3/25/2018,0,0,0,0,0,41,27
3/26/2018,0,0,0,0,0,44,34
3/27/2018,0,0,0,0,0,44,36
3/28/2018,0,0.46,0,0,0.46,44,38
3/29/2018,0,0.01,0.46,0,0.47,52,42
3/30/2018,0,0.94,0.01,0.46,1.41,52,42
3/31/2018,0,0.12,0.94,0.01,1.07,54,38
4/1/2018,0,0.15,0.12,0.94,1.21,52,40
4/2/2018,0,0,0.15,0.12,0.27,45,35
4/3/2018,0,0,0,0.15,0.15,44,36
4/4/2018,0,0.2,0,0,0.2,55,44
4/5/2018,0,0.25,0.2,0,0.45,35,29
4/6/2018,0,0.13,0.25,0.2,0.58,47,31
4/7/2018,0,0.15,0.13,0.25,0.53,34,31
4/8/2018,0,0,0.15,0.13,0.28,35,28
4/9/2018,0,,0,0.15,0.15,39,30
4/10/2018,0,0,,0,0,39,33
4/11/2018,0,0.06,0,,0.06,49,35
4/12/2018,0,0.05,0.06,0,0.11,58,39
4/13/2018,0,0.17,0.05,0.06,0.28,53,46
4/14/2018,0,0,0.17,0.05,0.22,42,41
4/15/2018,0,0.07,0,0.17,0.24,35,33
4/16/2018,0,0.04,0.07,0,0.11,44,38
4/17/2018,0,0.78,0.04,0.07,0.89,40,35
4/18/2018,0,0.08,0.78,0.04,0.9,41,35
4/19/2018,0,0.07,0.08,0.78,0.93,38,35
4/20/2018,0,0.13,0.07,0.08,0.28,43,34
4/21/2018,0,0,0.13,0.07,0.2,54,40
4/22/2018,0,0,0,0.13,0.13,60,44
4/23/2018,0,0,0,0,0,70,49
4/24/2018,0,0,0,0,0,72,60
4/25/2018,0,0.09,0,0,0.09,56,54
4/26/2018,0,0.22,0.09,0,0.31,56,47
4/27/2018,0,,0.22,0.09,0.31,62,46
4/28/2018,0,0.2,,0.22,0.42,59,51
4/29/2018,0,0.41,0.2,,0.61,42,38
4/30/2018,0,0.2,0.41,0.2,0.81,61,44
5/1/2018,0,0.01,0.2,0.41,0.62,77,54
5/2/2018,0,0,0.01,0.2,0.21,88,69
5/3/2018,0,0.03,0,0.01,0.04,82,69
5/4/2018,0,0.29,0.03,0,0.32,84,67
