Date,Max_Temp,Min_Temp,Avg_Temp,Precip
11/1/2016,60,28,44,0
11/2/2016,61,45,53,0.19
11/3/2016,56,47,51.5,0.65
11/4/2016,49,37,43,0.02
11/5/2016,58,44,51,0
11/6/2016,51,32,41.5,0
11/7/2016,58,28,43,0
11/8/2016,66,29,47.5,T
11/9/2016,51,30,40.5,0.16
11/10/2016,57,29,43,0
11/11/2016,54,36,45,T
11/12/2016,44,30,37,0
11/13/2016,56,29,42.5,0
11/14/2016,58,25,41.5,0
11/15/2016,54,34,44,T
11/16/2016,55,42,48.5,T
11/17/2016,53,36,44.5,T
11/18/2016,63,30,46.5,0
11/19/2016,70,34,52,0.18
11/20/2016,36,27,31.5,0.57
11/21/2016,30,26,28,0.39
11/22/2016,33,29,31,0.02
11/23/2016,33,28,30.5,T
11/24/2016,35,30,32.5,0.06
11/25/2016,43,33,38,0.01
11/26/2016,40,34,37,0.25
11/27/2016,39,32,35.5,0.23
11/28/2016,47,29,38,0
11/29/2016,56,37,46.5,0.03
11/30/2016,55,34,44.5,0.02
12/1/2016,54,38,46,0.44
12/2/2016,44,33,38.5,0.09
12/3/2016,37,34,35.5,0.02
12/4/2016,38,27,32.5,0
12/5/2016,40,30,35,0.08
12/6/2016,42,26,34,0.29
12/7/2016,42,29,35.5,0.07
12/8/2016,36,29,32.5,0.01
12/9/2016,30,22,26,0.09
12/10/2016,26,15,20.5,0.04
12/11/2016,29,14,21.5,0.03
12/12/2016,37,27,32,0.37
12/13/2016,35,28,31.5,T
12/14/2016,33,20,26.5,0.01
12/15/2016,21,9,15,0.14
12/16/2016,22,-2,10,T
12/17/2016,33,18,25.5,0.31
12/18/2016,36,15,25.5,0.71
12/19/2016,23,10,16.5,T
12/20/2016,34,4,19,0
12/21/2016,35,26,30.5,0
12/22/2016,36,28,32,0.1
12/23/2016,40,30,35,T
12/24/2016,42,34,38,T
12/25/2016,36,22,29,0.01
12/26/2016,50,22,36,0.05
12/27/2016,50,30,40,0.07
12/28/2016,32,28,30,0.01
12/29/2016,37,27,32,0.1
12/30/2016,32,26,29,0.19
12/31/2016,39,15,27,0.01
1/1/2017,39,22,30.5,T
1/2/2017,34,19,26.5,0.01
1/3/2017,38,34,36,0.58
1/4/2017,40,20,30,0.04
1/5/2017,25,19,22,0.05
1/6/2017,20,7,13.5,0
1/7/2017,22,9,15.5,T
1/8/2017,18,7,12.5,0.1
1/9/2017,22,7,14.5,T
1/10/2017,34,10,22,0.23
1/11/2017,49,34,41.5,T
1/12/2017,54,35,44.5,0.27
1/13/2017,35,19,27,T
1/14/2017,26,13,19.5,0
1/15/2017,33,19,26,T
1/16/2017,41,17,29,0
1/17/2017,37,23,30,0.91
1/18/2017,38,34,36,0.16
1/19/2017,37,34,35.5,T
1/20/2017,43,34,38.5,0.01
1/21/2017,52,37,44.5,T
1/22/2017,51,32,41.5,0
1/23/2017,42,31,36.5,0.06
1/24/2017,32,29,30.5,0.47
1/25/2017,38,28,33,0.01
1/26/2017,45,33,39,0.07
1/27/2017,36,31,33.5,0.01
1/28/2017,34,29,31.5,T
1/29/2017,32,23,27.5,T
1/30/2017,24,12,18,T
1/31/2017,24,11,17.5,0.05
2/1/2017,36,23,29.5,0.08
2/2/2017,29,20,24.5,0.1
2/3/2017,23,17,20,T
2/4/2017,27,15,21,0.11
2/5/2017,33,17,25,0.01
2/6/2017,30,22,26,0.01
2/7/2017,48,27,37.5,0.61
2/8/2017,52,26,39,0.04
2/9/2017,26,11,18.5,0.16
2/10/2017,26,15,20.5,0.09
2/11/2017,37,25,31,T
2/12/2017,34,27,30.5,0.57
2/13/2017,32,24,28,0.25
2/14/2017,40,23,31.5,T
2/15/2017,38,26,32,0.25
2/16/2017,26,21,23.5,0.01
2/17/2017,30,18,24,0.01
2/18/2017,57,18,37.5,0
2/19/2017,52,34,43,0
2/20/2017,37,23,30,0
2/21/2017,47,21,34,0.03
2/22/2017,60,34,47,0
2/23/2017,69,42,55.5,0
2/24/2017,71,38,54.5,0.74
2/25/2017,68,31,49.5,0.48
2/26/2017,34,27,30.5,T
2/27/2017,52,32,42,0
2/28/2017,59,32,45.5,T
3/1/2017,68,45,56.5,0.05
3/2/2017,45,19,32,T
3/3/2017,29,15,22,T
3/4/2017,16,7,11.5,0.01
3/5/2017,27,2,14.5,0
3/6/2017,49,18,33.5,0.01
3/7/2017,55,37,46,0.43
3/8/2017,55,34,44.5,0.2
3/9/2017,40,30,35,T
3/10/2017,31,11,21,T
3/11/2017,17,8,12.5,0.02
3/12/2017,19,8,13.5,0.03
3/13/2017,21,6,13.5,0
3/14/2017,22,15,18.5,0.96
3/15/2017,25,15,20,0.2
3/16/2017,30,19,24.5,T
3/17/2017,38,19,28.5,0
3/18/2017,35,15,25,0.11
3/19/2017,42,25,33.5,T
3/20/2017,39,20,29.5,0
3/21/2017,46,33,39.5,T
3/22/2017,34,15,24.5,0.02
3/23/2017,34,10,22,0
3/24/2017,47,30,38.5,0.13
3/25/2017,39,34,36.5,0.36
3/26/2017,43,33,38,0.04
3/27/2017,53,37,45,0.17
3/28/2017,52,39,45.5,T
3/29/2017,47,28,37.5,0
3/30/2017,47,25,36,0.3
3/31/2017,38,32,35,0.81
4/1/2017,40,32,36,0.02
4/2/2017,56,31,43.5,0
4/3/2017,62,33,47.5,0.15
4/4/2017,58,46,52,1.45
4/5/2017,47,40,43.5,0
4/6/2017,50,39,44.5,0.91
4/7/2017,39,32,35.5,0.27
4/8/2017,46,31,38.5,0
4/9/2017,69,29,49,0
4/10/2017,81,56,68.5,0
4/11/2017,75,49,62,0.15
4/12/2017,58,40,49,0
4/13/2017,52,36,44,0
4/14/2017,62,29,45.5,0
4/15/2017,71,36,53.5,0.09
4/16/2017,81,57,69,0.12
4/17/2017,57,38,47.5,T
4/18/2017,57,31,44,0
4/19/2017,56,44,50,0.5
4/20/2017,59,48,53.5,0.75
4/21/2017,59,48,53.5,0.2
4/22/2017,50,37,43.5,0
4/23/2017,66,32,49,0
4/24/2017,70,37,53.5,0
4/25/2017,58,47,52.5,0.19
4/26/2017,73,50,61.5,0
4/27/2017,82,55,68.5,0.04
4/28/2017,73,53,63,0.1
4/29/2017,65,44,54.5,0
4/30/2017,63,39,51,0.01
5/1/2017,77,50,63.5,0.78
5/2/2017,62,48,55,0.1
5/3/2017,53,39,46,T
5/4/2017,59,33,46,0.08
5/5/2017,53,44,48.5,1.2
5/6/2017,56,44,50,0.64
5/7/2017,44,38,41,0.14
5/8/2017,47,33,40,T
5/9/2017,51,34,42.5,0
5/10/2017,54,30,42,0
5/11/2017,64,35,49.5,0
5/12/2017,67,40,53.5,T
5/13/2017,55,47,51,0.17
5/14/2017,63,41,52,0.05
5/15/2017,63,47,55,T
5/16/2017,70,45,57.5,0
5/17/2017,88,55,71.5,0
5/18/2017,88,63,75.5,0.12
5/19/2017,68,49,58.5,T
5/20/2017,70,43,56.5,0
5/21/2017,70,49,59.5,0.39
5/22/2017,69,49,59,0.23
5/23/2017,74,44,59,0
